Time (Sec);S1;S16;S17;S18;S19;S2;S20;S21;S22;S23;S24;S25;S26;S27;S28;S4;S6;S7;
0.0;19160.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
30.000000000000174;19160.0;99.59993920000004;99.59993920000004;99.59993920000004;99.59993920000004;99.76664639999998;99.59993920000004;99.59993920000004;99.59993920000004;99.59993920000004;99.59993920000004;99.59993920000004;99.59993920000004;99.59993920000004;99.59993920000004;99.59993920000004;99.59993920000004;99.76664639999998;
60.00000000000054;19160.0;99.59713919999994;99.59713919999994;99.59713919999994;99.59713919999994;99.67291519999992;99.59713919999994;99.59713919999994;99.59713919999994;99.59713919999994;99.59713919999994;99.59713919999994;99.59713919999994;99.59713919999994;99.59713919999994;99.59713919999994;99.59713919999994;99.76384639999989;
90.0613839999997;19160.0;99.4277319999999;99.4277319999999;99.4277319999999;99.4277319999999;99.51866319999988;99.4277319999999;99.4277319999999;99.4277319999999;99.4277319999999;99.4277319999999;99.4277319999999;99.4277319999999;99.4277319999999;99.4277319999999;99.4277319999999;99.4277319999999;99.7611463999998;
120.06221733333192;19160.0;99.34925599999984;99.34925599999984;99.34925599999984;99.34925599999984;99.44018719999981;99.34925599999984;99.34925599999984;99.34925599999984;99.34925599999984;99.34925599999984;99.34925599999984;99.34925599999984;99.34925599999984;99.34925599999984;99.34925599999984;99.34925599999984;99.75844639999971;
150.0613839999971;19160.0;99.25562479999978;99.25562479999978;99.25562479999978;99.25562479999978;99.36171119999975;99.25562479999978;99.25562479999978;99.25562479999978;99.25562479999978;99.25562479999978;99.25562479999978;99.25562479999978;99.25562479999978;99.25562479999978;99.25562479999978;99.25562479999978;99.75574639999962;
180.0613839999954;19160.0;99.08611759999974;99.08611759999974;99.08611759999974;99.08611759999974;99.17704879999971;99.08611759999974;99.08611759999974;99.08611759999974;99.08611759999974;99.08611759999974;99.08611759999974;99.08611759999974;99.08611759999974;99.08611759999974;99.08611759999974;99.08611759999974;99.75294639999953;
210.06138399999375;19160.0;99.08341759999965;99.08341759999965;99.08341759999965;99.08341759999965;99.17434879999962;99.08341759999965;99.08341759999965;99.08341759999965;99.08341759999965;99.08341759999965;99.08341759999965;99.08341759999965;99.08341759999965;99.08341759999965;99.08341759999965;99.08341759999965;99.75024639999944;
240.06138399999205;19160.0;98.91401039999961;98.91401039999961;98.91401039999961;98.91401039999961;99.02009679999958;98.91401039999961;98.91401039999961;98.91401039999961;98.91401039999961;98.91401039999961;98.91401039999961;98.91401039999961;98.91401039999961;98.91401039999961;98.91401039999961;98.91401039999961;99.74754639999935;
270.0181919999929;19160.0;98.75965839999957;98.75965839999957;98.75965839999957;98.75965839999957;98.94152079999951;98.75965839999957;98.75965839999957;98.75965839999957;98.75965839999957;98.75965839999957;98.75965839999957;98.75965839999957;98.75965839999957;98.75965839999957;98.75965839999957;98.75965839999957;99.74474639999926;
